LOC_NAME,LOC_PID,Centroid_X,Centroid_Y,Google_Maps_Link,Suburb Name in Brisbane,Location in Brisbane
Wellesley Islands,loc162ba431d5ad,139.2528085,-16.2310082,"https://www.google.com/maps?q=-16.231008199164695,139.25280846091076",0,
Wellesley Islands,loc162ba431d5ad,139.4172346,-16.57437472,"https://www.google.com/maps?q=-16.57437472336027,139.41723458024947",0,
Wellesley Islands,loc162ba431d5ad,139.4588216,-16.66884867,"https://www.google.com/maps?q=-16.668848673549128,139.4588215981261",0,
Wellesley Islands,loc162ba431d5ad,139.4557315,-16.66627905,"https://www.google.com/maps?q=-16.666279047076376,139.45573152565154",0,
West End,loc155a5868e14f,146.79715,-19.26481449,"https://www.google.com/maps?q=-19.264814491082916,146.79715001071176",1,No
West End,locdbadfd14d5da,153.0109664,-27.48228486,"https://www.google.com/maps?q=-27.482284856732264,153.01096636115963",1,Yes
West Wellesley Islands,loc411050826179,139.1476734,-16.82564817,"https://www.google.com/maps?q=-16.825648170018866,139.14767344471892",0,
West Wellesley Islands,loc411050826179,139.1159664,-16.82475332,"https://www.google.com/maps?q=-16.82475332308205,139.11596639166237",0,
West Wellesley Islands,loc411050826179,139.1645722,-16.71342355,"https://www.google.com/maps?q=-16.71342355134838,139.16457215052145",0,
West Wellesley Islands,loc411050826179,139.0629943,-16.89543966,"https://www.google.com/maps?q=-16.895439661500774,139.06299427283105",0,
West Wellesley Islands,loc411050826179,139.1435349,-16.76058951,"https://www.google.com/maps?q=-16.760589508286035,139.14353485952927",0,
West Wellesley Islands,loc411050826179,139.1637486,-16.74396434,"https://www.google.com/maps?q=-16.743964341581307,139.16374863857797",0,
West Wellesley Islands,loc411050826179,139.1331522,-16.79103306,"https://www.google.com/maps?q=-16.791033058095437,139.1331522382461",0,
West Wellesley Islands,loc411050826179,139.1541692,-16.77473969,"https://www.google.com/maps?q=-16.77473968799186,139.15416924746202",0,
West Wellesley Islands,loc411050826179,139.0620228,-16.87073323,"https://www.google.com/maps?q=-16.870733231637804,139.06202281581903",0,
West Wellesley Islands,loc411050826179,139.1203937,-16.86093839,"https://www.google.com/maps?q=-16.86093839493534,139.120393670011",0,
West Wellesley Islands,loc411050826179,139.1509018,-16.78315686,"https://www.google.com/maps?q=-16.783156861761828,139.15090180090849",0,
West Wellesley Islands,loc411050826179,139.1384042,-16.78971768,"https://www.google.com/maps?q=-16.78971768283155,139.13840418136905",0,
White Rock,loc1c4e4398110a,145.7523784,-16.98567113,"https://www.google.com/maps?q=-16.985671134388408,145.7523783894503",1,No
White Rock,loce0dec050c592,152.8626645,-27.69688616,"https://www.google.com/maps?q=-27.696886156501073,152.86266450384187",1,Yes
Wujal Wujal,loc7a63f0d76472,145.3113693,-15.9690368,"https://www.google.com/maps?q=-15.969036802276483,145.31136931524983",0,
Wujal Wujal,loc7a63f0d76472,145.3196987,-15.94937089,"https://www.google.com/maps?q=-15.949370894405462,145.31969865721317",0,
Yarrabah,loc0d62c6df80df,145.8947562,-16.88491628,"https://www.google.com/maps?q=-16.884916282273178,145.8947561898026",0,
Yarrabah,loc0d62c6df80df,145.9062801,-16.97659277,"https://www.google.com/maps?q=-16.976592768433623,145.90628014821348",0,
Yarrabah,loc0d62c6df80df,145.9009769,-16.99374921,"https://www.google.com/maps?q=-16.993749210779693,145.9009769292124",0,
